OCCURRED ON,UCR CRIME CATEGORY,PREMISE TYPE
01/02/2024 0:00,LARCENY-THEFT,PARKING LOT
01/02/2024 0:00,BURGLARY,SINGLE FAMILY HOUSE
01/02/2024 0:00,DRUG OFFENSE,STREET / ROADWAY / SIDEWALK
01/02/2024 0:00,DRUG OFFENSE,BUS STOP
01/02/2024 0:13,ARSON,
01/02/2024 0:24,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK
01/02/2024 0:31,DRUG OFFENSE,STREET / ROADWAY / SIDEWALK
01/02/2024 0:41,LARCENY-THEFT,FENCED COMMERCIAL YARD
01/02/2024 0:51,LARCENY-THEFT,CONVENIENCE MARKET / STORE
01/02/2024 0:57,BURGLARY,APARTMENT
01/02/2024 1:00,BURGLARY,GARAGE
01/02/2024 1:00,LARCENY-THEFT,CONDO / TOWNHOUSE
01/02/2024 1:48,LARCENY-THEFT,FENCED COMMERCIAL YARD
01/02/2024 2:04,LARCENY-THEFT,DRIVEWAY
01/02/2024 2:10,LARCENY-THEFT,APARTMENT
01/02/2024 2:30,LARCENY-THEFT,SHOPPING MALL
01/02/2024 3:00,BURGLARY,FAST FOOD STORE
01/02/2024 3:00,RAPE,SINGLE FAMILY HOUSE
01/02/2024 3:20,LARCENY-THEFT,VEHICLE
01/02/2024 3:25,LARCENY-THEFT,DRIVEWAY
01/02/2024 4:00,LARCENY-THEFT,PARKING LOT
01/02/2024 4:38,ARSON,STREET / ROADWAY / SIDEWALK
01/02/2024 20:00,RAPE,VEHICLE
01/02/2024 20:00,MOTOR VEHICLE THEFT,APARTMENT
01/02/2024 20:00,AGGRAVATED ASSAULT,APARTMENT
01/02/2024 20:00,RAPE,APARTMENT
01/02/2024 20:15,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/02/2024 20:35,LARCENY-THEFT,CONSTRUCTION SITE
01/02/2024 20:44,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/02/2024 20:50,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/02/2024 20:54,LARCENY-THEFT,CONVENIENCE MARKET / STORE
01/02/2024 21:00,MOTOR VEHICLE THEFT,APARTMENT
01/02/2024 21:00,LARCENY-THEFT,APARTMENT
01/02/2024 21:00,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK
01/02/2024 21:00,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/02/2024 21:00,LARCENY-THEFT,DRIVEWAY
01/02/2024 21:00,MOTOR VEHICLE THEFT,APARTMENT
01/02/2024 21:16,ROBBERY,STREET / ROADWAY / SIDEWALK
01/02/2024 21:30,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK
01/02/2024 21:30,AGGRAVATED ASSAULT,APARTMENT
01/02/2024 22:00,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK
01/02/2024 22:00,LARCENY-THEFT,PARKING LOT
01/02/2024 22:00,AGGRAVATED ASSAULT,SINGLE FAMILY HOUSE
01/02/2024 22:00,MOTOR VEHICLE THEFT,APARTMENT
01/02/2024 22:03,ROBBERY,FAST FOOD STORE
01/02/2024 22:30,ROBBERY,STREET / ROADWAY / SIDEWALK
01/02/2024 22:30,LARCENY-THEFT,APARTMENT
01/02/2024 23:00,LARCENY-THEFT,APARTMENT
01/02/2024 23:00,MOTOR VEHICLE THEFT,SINGLE FAMILY HOUSE
01/02/2024 23:00,MOTOR VEHICLE THEFT,APARTMENT
01/02/2024 23:00,BURGLARY,APARTMENT
01/02/2024 23:12,DRUG OFFENSE,APARTMENT
01/02/2024 23:52,ROBBERY,APARTMENT
01/03/2024 0:00,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/03/2024 0:00,DRUG OFFENSE,VEHICLE
01/03/2024 0:00,BURGLARY,RENTAL STORAGE / FACILITY
01/03/2024 0:00,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/03/2024 0:00,MOTOR VEHICLE THEFT,AUTO DEALERSHIP NEW/USED
01/03/2024 0:00,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/03/2024 0:00,RAPE,HOTEL / MOTEL
01/03/2024 0:00,DRUG OFFENSE,GAS / SERVICE STATION
01/03/2024 0:00,ARSON,
01/03/2024 0:00,BURGLARY,SINGLE FAMILY HOUSE
01/03/2024 0:00,LARCENY-THEFT,AIRPORT
01/03/2024 0:00,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/03/2024 0:00,LARCENY-THEFT,OPEN SPACE / DESERT
01/03/2024 0:01,BURGLARY,GARAGE
01/03/2024 0:01,LARCENY-THEFT,FENCED COMMERCIAL YARD
01/03/2024 0:15,BURGLARY,SINGLE FAMILY HOUSE
01/03/2024 0:20,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK
01/03/2024 0:30,BURGLARY,STOREROOM/SHED (COMMERCIAL)
01/03/2024 0:38,LARCENY-THEFT,FENCED COMMERCIAL YARD
