OCCURRED NIGHT,UCR CRIME CATEGORY NIGHT,PREMISE TYPE NIGHT,OCCURRED DAY,UCR CRIME CATEGORY DAY,PREMISE TYPE DAY
01/01/2024 1:45,AGGRAVATED ASSAULT,OTHER,01/01/2023 15:04,LARCENY-THEFT,WAREHOUSE / FACTORY
01/01/2024 2:00,RAPE,VEHICLE,01/01/2023 15:05,LARCENY-THEFT,FENCED COMMERCIAL YARD
01/01/2024 2:00,MOTOR VEHICLE THEFT,HOTEL / MOTEL,01/01/2023 16:00,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/01/2024 2:04,MOTOR VEHICLE THEFT,FENCED COMMERCIAL YARD,01/01/2023 16:00,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK
01/01/2024 2:14,LARCENY-THEFT,CONVENIENCE MARKET / STORE,01/01/2023 16:00,MOTOR VEHICLE THEFT,GAS / SERVICE STATION
01/01/2024 2:30,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK,01/01/2023 16:00,LARCENY-THEFT,FAST FOOD STORE
01/01/2024 2:58,AGGRAVATED ASSAULT,APARTMENT,01/01/2023 16:00,LARCENY-THEFT,DRIVEWAY
01/01/2024 3:00,LARCENY-THEFT,SINGLE FAMILY HOUSE,01/01/2023 16:00,MOTOR VEHICLE THEFT,APARTMENT
01/01/2024 3:10,ROBBERY,VEHICLE,01/01/2023 16:00,LARCENY-THEFT,DRIVEWAY
01/01/2024 3:24,AGGRAVATED ASSAULT,SINGLE FAMILY HOUSE,01/01/2023 16:04,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/01/2024 4:00,ARSON,SINGLE FAMILY HOUSE,01/01/2023 16:15,LARCENY-THEFT,VEHICLE
01/01/2024 5:00,BURGLARY,APARTMENT,01/01/2023 16:35,LARCENY-THEFT,VEHICLE
01/01/2024 5:00,ROBBERY,STREET / ROADWAY / SIDEWALK,01/01/2023 16:45,BURGLARY,WAREHOUSE / FACTORY
01/01/2024 20:00,LARCENY-THEFT,PARKING LOT,01/01/2023 16:57,AGGRAVATED ASSAULT,SINGLE FAMILY HOUSE
01/01/2024 20:00,LARCENY-THEFT,APARTMENT,01/02/2023 8:13,DRUG OFFENSE,BUS STOP
01/01/2024 20:30,MOTOR VEHICLE THEFT,APARTMENT,01/02/2023 8:30,RAPE,SPECIALTY STORE
01/01/2024 20:34,LARCENY-THEFT,DRUG STORE,01/02/2023 8:30,LARCENY-THEFT,APARTMENT
01/01/2024 21:00,LARCENY-THEFT,SINGLE FAMILY HOUSE,01/02/2023 9:00,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK
01/01/2024 21:00,LARCENY-THEFT,APARTMENT,01/02/2023 9:01,LARCENY-THEFT,OFFICE / COMMERCIAL BUILDING
01/01/2024 21:20,MOTOR VEHICLE THEFT,APARTMENT,01/02/2023 9:27,MOTOR VEHICLE THEFT,DEPARTMENT / DISCOUNT STORE
01/01/2024 21:30,LARCENY-THEFT,FENCED COMMERCIAL YARD,01/02/2023 9:45,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/01/2024 21:30,AGGRAVATED ASSAULT,SINGLE FAMILY HOUSE,01/02/2023 10:00,LARCENY-THEFT,STREET / ROADWAY / SIDEWALK
01/01/2024 22:00,MOTOR VEHICLE THEFT,APARTMENT,01/02/2023 10:19,DRUG OFFENSE,PARKING LOT
01/01/2024 22:00,LARCENY-THEFT,CONVENIENCE MARKET / STORE,01/02/2023 10:22,BURGLARY,APARTMENT
01/01/2024 22:00,LARCENY-THEFT,APARTMENT,01/02/2023 10:38,DRUG OFFENSE,STREET / ROADWAY / SIDEWALK
01/01/2024 22:03,ROBBERY,SINGLE FAMILY HOUSE,01/02/2023 10:53,AGGRAVATED ASSAULT,APARTMENT
01/01/2024 22:20,LARCENY-THEFT,THEATRE,01/02/2023 11:00,LARCENY-THEFT,FENCED RESIDENTIAL YARD
01/01/2024 22:28,AGGRAVATED ASSAULT,APARTMENT,01/02/2023 11:00,LARCENY-THEFT,OTHER
01/01/2024 22:33,LARCENY-THEFT,FAST FOOD STORE,01/02/2023 11:05,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK
01/01/2024 23:00,LARCENY-THEFT,CONVENIENCE MARKET / STORE,01/02/2023 11:10,BURGLARY,MOBILE HOME
01/01/2024 23:00,LARCENY-THEFT,VEHICLE,01/02/2023 11:49,ROBBERY,PARKING LOT
01/01/2024 23:11,RAPE,APARTMENT,01/02/2023 11:58,AGGRAVATED ASSAULT,DRIVEWAY
01/01/2024 23:15,AGGRAVATED ASSAULT,ALLEY,01/02/2023 12:00,RAPE,GROUP HOME
01/01/2024 23:30,LARCENY-THEFT,VEHICLE,01/02/2023 12:00,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/01/2024 23:30,MOTOR VEHICLE THEFT,DRIVEWAY,01/02/2023 12:00,LARCENY-THEFT,RETAIL BUSINESS
01/02/2024 0:00,LARCENY-THEFT,FENCED RESIDENTIAL YARD,01/02/2023 13:00,LARCENY-THEFT,HOTEL / MOTEL
01/02/2024 0:00,DRUG OFFENSE,STREET / ROADWAY / SIDEWALK,01/02/2023 13:00,LARCENY-THEFT,PARKING LOT
01/02/2024 0:00,DRUG OFFENSE,VEHICLE,01/02/2023 13:15,LARCENY-THEFT,DRUG STORE
01/02/2024 0:00,MOTOR VEHICLE THEFT,DRIVEWAY,01/02/2023 13:21,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/02/2024 0:00,AGGRAVATED ASSAULT,APARTMENT,01/02/2023 13:45,ROBBERY,CONDO / TOWNHOUSE
01/02/2024 0:00,LARCENY-THEFT,FENCED RESIDENTIAL YARD,01/02/2023 13:46,DRUG OFFENSE,SINGLE FAMILY HOUSE
01/02/2024 0:00,LARCENY-THEFT,CONDO / TOWNHOUSE,01/02/2023 14:03,LARCENY-THEFT,CONVENIENCE MARKET / STORE
01/02/2024 0:00,LARCENY-THEFT,VEHICLE,01/02/2023 14:30,DRUG OFFENSE,CONVENIENCE MARKET / STORE
